player_id,name,odi_debut,playing_role,batting_style,bowling_style,fielding_position
40618,Imran Tahir,2011-02-24,Bowler,Right-hand bat,Legbreak googly,
43906,Hashim Amla,2008-03-09,Top-order batsman,Right-hand bat,"Right-arm medium, Right-arm offbreak",
43909,Shafiek Abrahams,2000-11-04,,Right-hand bat,Right-arm offbreak,
43919,Paul Adams,1996-01-09,Bowler,Right-hand bat,Slow left-arm chinaman,
44024,Adam Bacher,1997-02-02,,Right-hand bat,Right-arm medium,
44070,Dale Benkenstein,1998-10-25,,Right-hand bat,"Right-arm medium, Right-arm offbreak",
44089,Gulam Bodi,2007-08-22,Opening batsman,Left-hand bat,Slow left-arm chinaman,
44091,Nicky Boje,1995-10-21,Bowler,Left-hand bat,Slow left-arm orthodox,
44098,Loots Bosman,2006-09-15,,Right-hand bat,Right-arm medium,
44111,Mark Boucher,1998-01-16,Wicketkeeper batsman,Right-hand bat,Right-arm medium,Wicketkeeper
44149,Johan Botha,2005-11-16,Allrounder,Right-hand bat,Right-arm offbreak,
44410,Farhaan Behardien,2013-01-22,Batting allrounder,Right-hand bat,Right-arm fast-medium,
44416,Dave Callaghan,1992-12-07,,Right-hand bat,Right-arm medium,
44485,Hansie Cronje,1992-02-26,,Right-hand bat,Right-arm medium,
44486,Derek Crookes,1994-10-16,,Right-hand bat,Right-arm offbreak,
44489,Daryll Cullinan,1993-02-09,,Right-hand bat,Right-arm offbreak,
44682,Alan Dawson,1998-10-25,,Right-hand bat,Right-arm medium-fast,
44708,Boeta Dippenaar,1999-09-26,,Right-hand bat,Right-arm offbreak,
44716,Allan Donald,1991-11-10,,Right-hand bat,Right-arm fast,
44752,Henry Davids,2013-11-30,Top-order batsman,Right-hand bat,Right-arm medium-fast,
44828,Faf du Plessis,2011-01-18,Middle-order batsman,Right-hand bat,Legbreak,
44932,Jean-Paul Duminy,2004-08-20,Batting allrounder,Left-hand bat,Right-arm offbreak,
44936,AB de Villiers,2005-02-02,Wicketkeeper batsman,Right-hand bat,Right-arm medium,Wicketkeeper
44960,Steve Elworthy,1998-04-03,,Right-hand bat,Right-arm fast-medium,
45224,Herschelle Gibbs,1996-10-03,,Right-hand bat,Right-arm bowler,
45396,Andrew Hall,1999-01-27,,Right-hand bat,Right-arm fast-medium,
45419,Nantie Hayward,1998-08-18,,Right-hand bat,Right-arm fast,
45431,Claude Henderson,2001-09-23,,Right-hand bat,Slow left-arm orthodox,
45568,Paul Harris,2008-03-09,Bowler,Right-hand bat,Slow left-arm orthodox,
45705,Colin Ingram,2010-10-15,Top-order batsman,Left-hand bat,Legbreak,Wicketkeeper
45789,Jacques Kallis,1996-01-09,Allrounder,Right-hand bat,Right-arm fast-medium,
45797,Justin Kemp,2001-01-14,,Right-hand bat,Right-arm fast-medium,
45800,Jon Kent,2002-04-03,,Right-hand bat,Right-arm medium-fast,
45813,Gary Kirsten,1993-12-14,,Left-hand bat,Right-arm offbreak,
45821,Lance Klusener,1996-01-19,Allrounder,Left-hand bat,Right-arm fast-medium,
45828,Louis Koen,1997-03-31,,Right-hand bat,,
45888,Garnett Kruger,2006-01-15,,Right-hand bat,Right-arm medium-fast,
45949,Rory Kleinveldt,2013-01-19,Bowler,Right-hand bat,Right-arm fast-medium,
45963,Charl Langeveldt,2001-10-14,Bowler,Right-hand bat,Right-arm fast-medium,
46075,Johann Louw,2008-11-02,Bowler,Right-hand bat,Right-arm medium-fast,
46208,Neil McKenzie,2000-02-02,,Right-hand bat,Right-arm medium,
46248,Albie Morkel,2004-02-20,Bowling allrounder,Left-hand bat,Right-arm medium-fast,
46393,Ryan McLaren,2009-11-08,Allrounder,Left-hand bat,Right-arm medium-fast,
46538,Morne Morkel,2007-06-06,Bowler,Left-hand bat,Right-arm fast,
46569,Andre Nel,2001-05-12,,Right-hand bat,Right-arm fast-medium,
46592,Makhaya Ntini,1998-01-16,,Right-hand bat,Right-arm fast,
46681,Justin Ontong,2001-04-28,,Right-hand bat,Right-arm offbreak,
46750,Robin Peterson,2002-09-25,Bowler,Left-hand bat,Slow left-arm orthodox,
46774,Shaun Pollock,1996-01-09,Allrounder,Right-hand bat,Right-arm fast-medium,
46780,Nic Pothas,2000-08-23,,Right-hand bat,,Wicketkeeper
46788,Ashwell Prince,2002-10-09,,Left-hand bat,Right-arm offbreak,
46797,Andrew Puttick,2005-10-28,,Left-hand bat,,Wicketkeeper
46934,Alviro Petersen,2006-09-18,Batsman,Right-hand bat,Right-arm offbreak,
46942,Aaron Phangiso,2013-01-25,Bowler,Right-hand bat,Slow left-arm orthodox,
46945,Vernon Philander,2007-06-24,Allrounder,Right-hand bat,Right-arm fast-medium,
46973,Jonty Rhodes,1992-02-26,,Right-hand bat,Right-arm medium,
47015,Jacques Rudolph,2003-04-13,,Left-hand bat,Legbreak googly,
47239,Errol Stewart,1993-02-15,,Right-hand bat,Right-arm medium,Wicketkeeper
47255,Pieter Strydom,2000-01-21,,Right-hand bat,Slow left-arm orthodox,
47270,Graeme Smith,2002-03-30,Opening batsman,Left-hand bat,Right-arm offbreak,
47492,Dale Steyn,2005-08-17,Bowler,Right-hand bat,Right-arm fast,
47539,Roger Telemachus,1998-04-03,,Right-hand bat,Right-arm fast-medium,
47541,David Terbrugge,2000-01-23,,Right-hand bat,Right-arm fast-medium,
47663,Thandi Tshabalala,2007-06-24,Bowler,Right-hand bat,Right-arm offbreak,
47666,Lonwabo Tsotsobe,2009-01-30,Bowler,Right-hand bat,Left-arm fast-medium,
47693,Johan van der Wath,2006-01-20,Allrounder,Right-hand bat,Right-arm medium-fast,
47700,Martin van Jaarsveld,2002-10-06,,Right-hand bat,"Right-arm medium, Right-arm offbreak",
47711,Morne van Wyk,2003-07-12,Wicketkeeper batsman,Right-hand bat,Slow left-arm orthodox,Wicketkeeper
47846,Vaughn van Jaarsveld,2009-01-16,Opening batsman,Left-hand bat,Right-arm medium,
47850,Roelof van der Merwe,2009-04-05,Allrounder,Right-hand bat,Slow left-arm orthodox,
47900,Henry Williams,1999-01-24,,Right-hand bat,Right-arm fast-medium,
47903,Charl Willoughby,2000-03-28,,Left-hand bat,Left-arm fast-medium,
48112,Monde Zondeki,2002-12-06,,Right-hand bat,Right-arm fast,
221140,David Wiese,2015-08-19,Allrounder,Right-hand bat,Right-arm medium-fast,
222320,Christiaan Jonker,2018-09-30,Middle-order batsman,Right-hand bat,Right-arm medium-fast,
223642,Rusty Theron,2010-10-15,Bowler,Right-hand bat,Right-arm medium-fast,
230852,Dean Elgar,2012-08-24,Opening batsman,Left-hand bat,Slow left-arm orthodox,
230860,Mthokozisi Shezi,2014-08-21,Bowler,Left-hand bat,Left-arm medium,
265564,Wayne Parnell,2009-01-30,Bowler,Left-hand bat,Left-arm medium-fast,
267724,Keshav Maharaj,2017-05-27,Bowler,Right-hand bat,Slow left-arm orthodox,
269280,Reeza Hendricks,2018-08-05,Opening batsman,Right-hand bat,Right-arm offbreak,
280490,JJ Smuts,2020-02-04,Batting allrounder,Right-hand bat,Slow left-arm orthodox,
297583,Kyle Abbott,2013-03-10,Bowler,Right-hand bat,Right-arm fast-medium,
318842,Khaya Zondo,2018-02-04,Batsman,Right-hand bat,Right-arm offbreak,
318845,Rilee Rossouw,2014-08-21,Top-order batsman,Left-hand bat,Right-arm offbreak,
321777,David Miller,2010-05-22,Middle-order batsman,Left-hand bat,Right-arm offbreak,
327830,Dwaine Pretorius,2016-09-25,Bowling allrounder,Right-hand bat,Right-arm medium-fast,
327947,Dane Paterson,2017-10-15,Bowler,Right-hand bat,Right-arm fast-medium,
337790,Rassie van der Dussen,2019-01-19,Top-order batsman,Right-hand bat,Legbreak,
372116,Temba Bavuma,2016-09-25,Middle-order batsman,Right-hand bat,Right-arm medium,
379143,Quinton de Kock,2013-01-19,Wicketkeeper batsman,Left-hand bat,,Wicketkeeper
379145,Tabraiz Shamsi,2016-06-07,Bowler,Right-hand bat,Slow left-arm chinaman,
379927,Beuran Hendricks,2019-01-25,Bowler,Left-hand bat,Left-arm fast-medium,
393279,Marchant de Lange,2012-03-03,Bowler,Right-hand bat,Right-arm fast,
436757,Heinrich Klaasen,2018-02-07,Wicketkeeper batsman,Right-hand bat,,Wicketkeeper
439952,Chris Morris,2013-06-10,Bowling allrounder,Right-hand bat,Right-arm fast-medium,
481979,Anrich Nortje,2019-03-03,Bowler,Right-hand bat,Right-arm fast,
486679,Duanne Olivier,2019-01-19,Bowler,Right-hand bat,Right-arm fast-medium,
501907,Daryn Dupavillon,2020-03-07,,Right-hand bat,Right-arm fast,
540316,Andile Phehlukwayo,2016-09-25,Bowling allrounder,Left-hand bat,Right-arm medium-fast,
542023,Lungi Ngidi,2018-02-07,Bowler,Right-hand bat,Right-arm fast,
545467,Junior Dala,2018-08-08,Bowler,Right-hand bat,Right-arm medium,
550215,Kagiso Rabada,2015-07-10,Bowler,Left-hand bat,Right-arm fast,
595004,Kyle Verreynne,2020-02-29,Wicketkeeper batsman,Right-hand bat,Right-arm offbreak,Wicketkeeper
600498,Aiden Markram,2017-10-22,Opening batsman,Right-hand bat,Right-arm offbreak,
605680,Janneman Malan,2020-02-29,Top-order batsman,Right-hand bat,Legbreak,
698143,Lutho Sipamla,2020-02-04,Bowler,Right-hand bat,Right-arm fast-medium,
698189,Wiaan Mulder,2017-10-22,Allrounder,Right-hand bat,Right-arm medium,
